ID,PredictedProb
0,0.199024
1,0.884151
2,0.859334
7,0.612134
10,0.808662
11,0.622197
13,0.934187
14,0.609583
15,0.858016
16,0.80641
17,0.714993
18,0.818108
19,0.893266
20,0.899948
25,0.88298
26,0.826209
29,0.705173
38,0.957264
41,0.935462
44,0.559594
45,0.140943
47,0.725933
48,0.521128
49,0.785074
50,0.852107
53,0.604648
56,0.502854
59,0.836059
60,0.80426
64,0.797762
65,0.977585
66,0.775109
68,0.895759
69,0.623074
70,0.943038
71,0.865606
72,0.624118
76,0.915977
80,0.76643
82,0.695774
83,0.805986
85,0.853164
86,0.883723
87,0.761775
89,0.801952
97,0.806276
99,0.652651
101,0.762148
102,0.338587
103,0.566173
104,0.580752
106,0.956708
107,0.487176
109,0.938664
111,0.310594
113,0.833866
114,0.49163
118,0.852335
119,0.710192
120,0.895112
123,0.710425
128,0.125437
129,0.755706
131,0.951787
133,0.650722
134,0.741606
136,0.920796
137,0.630081
139,0.677863
140,0.869316
142,0.827988
144,0.790581
146,0.957168
147,0.724142
148,0.926501
150,0.13134
151,0.117577
152,0.93635
155,0.963694
158,0.889584
159,0.613626
160,0.980248
161,0.794774
165,0.930535
166,0.649689
170,0.940985
171,0.746407
174,0.679392
175,0.692982
179,0.763955
180,0.916646
181,0.727404
184,0.657799
185,0.565271
187,0.83253
188,0.901396
190,0.805123
191,0.819555
192,0.609253
193,0.841735
196,0.883844
197,0.714394
198,0.538331
205,0.0927021
211,0.853371
213,0.660876
214,0.8357
217,0.598133
218,0.844038
221,0.712823
222,0.577546
225,0.849814
229,0.741482
236,0.683722
237,0.926616
238,0.756323
239,0.952864
242,0.81277
245,0.891855
246,0.883515
247,0.908625
248,0.988707
254,0.893421
255,0.564671
257,0.96033
259,0.749158
264,0.910857
270,0.749052
272,0.823138
274,0.471827
275,0.438869
278,0.840643
280,0.400303
281,0.308751
282,0.190791
283,0.886711
284,0.960215
286,0.882498
287,0.892555
288,0.874687
289,0.848855
290,0.658535
291,0.796871
294,0.63039
295,0.3875
297,0.535769
299,0.77535
305,0.871088
307,0.584546
308,0.738092
313,0.555337
314,0.815027
315,0.762328
316,0.905836
317,0.872111
319,0.655773
322,0.83892
323,0.891248
324,0.893678
326,0.873296
327,0.715889
329,0.98655
330,0.0788347
331,0.461361
336,0.391217
337,0.406623
338,0.881891
340,0.953831
345,0.472903
347,0.937798
348,0.795812
350,0.981008
352,0.819099
356,0.943552
357,0.925278
358,0.911999
359,0.743912
361,0.840078
363,0.174391
364,0.856963
368,0.817138
376,0.969829
378,0.744789
382,0.844162
384,0.323782
385,0.947975
388,0.158442
389,0.957006
391,0.668508
392,0.727863
395,0.711585
396,0.898565
397,0.829177
399,0.788934
404,0.960843
407,0.464957
409,0.812931
410,0.774025
