ID,PredictedProb
0,0.135782
1,0.907639
2,0.840892
7,0.663076
10,0.79926
11,0.616335
13,0.914301
14,0.514537
15,0.915222
16,0.862711
17,0.681339
18,0.856243
19,0.953689
20,0.845857
25,0.836909
26,0.822322
29,0.802838
38,0.944972
41,0.941877
44,0.525771
45,0.294614
47,0.694412
48,0.722409
49,0.785258
50,0.866882
53,0.59439
56,0.572316
59,0.879006
60,0.706765
64,0.78251
65,0.979971
66,0.813125
68,0.790091
69,0.662709
70,0.924838
71,0.775905
72,0.659441
76,0.895355
80,0.757984
82,0.83182
83,0.965446
85,0.860223
86,0.814634
87,0.681576
89,0.817158
97,0.85751
99,0.654272
101,0.772521
102,0.339567
103,0.61325
104,0.567812
106,0.942941
107,0.505138
109,0.967009
111,0.409866
113,0.854449
114,0.540464
118,0.846305
119,0.698312
120,0.845168
123,0.720878
128,0.234925
129,0.816723
131,0.931761
133,0.666086
134,0.747449
136,0.961364
137,0.649075
139,0.691379
140,0.890378
142,0.696042
144,0.745616
146,0.879037
147,0.714751
148,0.906222
150,0.157481
151,0.133913
152,0.954819
155,0.969825
158,0.882134
159,0.643391
160,1.00344
161,0.734354
165,0.927553
166,0.546847
170,0.919557
171,0.72944
174,0.673864
175,0.678543
179,0.749469
180,0.894058
181,0.773245
184,0.668288
185,0.522341
187,0.822087
188,0.798228
190,0.805526
191,0.754993
192,0.636662
193,0.911849
196,0.841138
197,0.663797
198,0.567429
205,0.0767155
211,0.896587
213,0.726762
214,0.83361
217,0.571838
218,0.849844
221,0.704785
222,0.58717
225,0.824753
229,0.718323
236,0.652821
237,0.946791
238,0.759742
239,0.983448
242,0.710565
245,0.921776
246,0.798632
247,0.914743
248,0.942626
254,0.88408
255,0.578599
257,0.966219
259,0.713583
264,0.91458
270,0.664181
272,0.736636
274,0.374527
275,0.362781
278,0.840819
280,0.298536
281,0.263235
282,0.270974
283,0.815584
284,0.978556
286,0.896317
287,0.891683
288,0.906801
289,0.884424
290,0.584696
291,0.768049
294,0.623763
295,0.428619
297,0.571844
299,0.784883
305,0.814388
307,0.566995
308,0.724822
313,0.584859
314,0.821549
315,0.802119
316,0.922489
317,0.915845
319,0.559103
322,0.846136
323,0.885138
324,0.922645
326,0.913996
327,0.686284
329,1.02029
330,0.0539984
331,0.507313
336,0.468269
337,0.571237
338,0.829869
340,0.978607
345,0.51918
347,0.843521
348,0.747241
350,1.01934
352,0.726495
356,0.966535
357,0.918606
358,0.926685
359,0.711087
361,0.853366
363,0.388394
364,0.767976
368,0.864501
376,0.977873
378,0.760399
382,0.833743
384,0.519093
385,0.944613
388,0.188483
389,0.950632
391,0.793758
392,0.726068
395,0.732869
396,0.93654
397,0.816495
399,0.774754
404,0.975127
407,0.45926
409,0.813763
410,0.786193
413,0.719921
414,0.525497
416,0.710604
418,0.78464
419,0.872083
420,0.898921
422,0.931926
423,0.775482
427,0.706476
429,0.980486
430,0.570536
431,0.702713
432,0.653313
433,0.899964
434,0.0548894
436,0.724893
437,0.881916
451,0.668576
452,0.737411
454,0.841069
457,0.924273
458,0.864972
460,0.597622
461,0.936851
462,0.719448
463,0.846101
465,0.932345
467,0.866446
473,0.800645
474,0.883434
480,0.168486
481,0.713461
483,0.851536
484,0.621899
485,0.575201
487,0.915691
490,0.922884
491,0.840033
492,0.625782
496,0.872164
497,0.650623
498,0.66229
499,0.888478
501,0.790339
502,0.975108
503,0.846894
506,0.948316
507,0.757553
508,0.597993
509,0.777125
510,0.814108
511,0.884705
513,0.778534
515,0.934245
521,0.446194
522,0.784121
523,0.891586
525,0.878675
529,0.84117
530,0.595116
531,0.721298
533,0.7466
534,0.672682
535,0.904095
537,0.587722
541,0.676867
542,0.700958
543,0.715369
544,0.829138
545,0.631196
549,0.896922
550,0.852709
551,0.87913
553,0.571162
556,0.910095
558,0.538464
560,0.717301
563,0.541196
564,0.959942
567,0.537066
572,0.577149
573,0.939548
577,0.843159
583,0.865269
584,0.793541
585,0.795542
586,0.804912
588,0.789737
590,0.692626
591,0.669846
593,0.906257
594,0.720458
597,0.765874
598,0.733433
599,0.948101
603,0.804265
604,0.702383
606,0.950976
607,0.497812
609,0.726037
614,0.857295
615,0.870005
616,0.521647
617,0.880579
618,0.868016
619,0.822959
620,0.928606
623,0.691098
625,0.829433
626,0.822418
627,0.911882
632,0.897945
633,0.554721
634,0.776626
635,0.756197
636,0.89803
637,0.973792
638,0.876502
639,0.957641
642,0.500088
643,0.892328
644,0.961976
645,0.124514
646,0.839318
650,0.91841
653,0.639092
654,0.497918
655,0.315078
656,0.854382
657,0.839244
658,0.632869
660,0.503395
661,0.760578
668,0.887877
669,0.676242
671,0.832767
672,0.711783
676,0.895198
678,0.90071
680,0.804442
682,0.793313
684,0.853794
685,0.837719
686,0.620142
687,0.591129
694,0.464787
696,0.807946
697,0.737934
699,0.565026
702,0.942414
707,0.786682
708,0.866085
712,0.932707
717,0.990726
718,0.937261
720,0.525347
721,0.852933
723,0.849587
724,0.74737
727,0.680042
728,0.294098
731,0.808312
733,0.82527
735,0.906019
737,0.820882
738,0.757925
740,0.673576
742,0.9873
743,0.570196
745,0.67955
746,0.871028
747,0.641983
748,0.984063
749,0.924936
750,0.995745
753,0.747298
755,0.774625
756,0.923982
758,0.505665
760,0.753707
762,0.855083
763,0.76759
765,0.934378
767,0.80559
768,0.940216
770,0.781357
772,0.685913
773,0.902225
774,0.428117
775,0.737606
777,0.450024
778,0.899996
780,0.575726
782,0.784433
783,0.923177
786,0.531141
787,0.873357
788,0.82121
789,0.711843
790,0.69994
793,0.762335
795,0.84145
807,0.720906
809,0.844913
810,0.584187
811,0.807917
813,0.17037
815,0.846614
816,0.728486
821,0.892408
823,1.02265
825,0.833176
826,0.883979
827,0.884803
832,0.866816
833,0.722547
834,0.707109
837,0.85437
838,1.007
839,0.154997
843,0.503515
844,0.785852
845,0.594258
846,0.688297
848,0.742935
850,0.807373
851,0.904645
852,0.641332
855,0.769861
856,0.945932
861,0.702757
862,0.872205
863,0.960448
864,0.636879
865,0.880665
867,0.698613
868,0.887269
869,0.904791
873,0.719061
875,0.675854
877,0.892965
879,0.829053
880,0.993463
881,0.805763
882,0.69829
883,0.947301
887,0.735768
888,0.618181
890,0.983518
897,0.760891
900,0.829243
902,0.737273
904,0.831308
906,0.596863
910,0.857138
913,0.831048
914,0.717521
915,0.505757
